mIoU    ,[ 4.78 48.33 11.54 43.69]
mIoU_obs,[ 1.55 53.49  7.1   0.32]
mIoU_hid,[ 4.57  6.84  9.95 43.38]
p(un|not un),67.29
p(dy|not dy),1.45
overallScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,7.12,24.53,6.77,61.41
 fr_true ,0.41,47.03,0.68,51.67
 oc_true ,2.55,16.76,13.5,67.05
 un_true ,0.63,3.55,1.73,94.06
observableScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,4.5,43.69,7.49,44.08
 fr_true ,0.36,57.81,0.52,41.06
 oc_true ,2.7,30.95,15.44,50.7
 un_true ,-1.0,-1.0,-1.0,-1.0
hiddenScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,8.16,15.94,6.49,69.27
 fr_true ,0.59,17.52,1.17,80.62
 oc_true ,2.5,12.26,13.01,72.11
 un_true ,0.63,3.51,1.72,94.11
