mIoU    ,[ 1.48 75.6  10.36 36.21]
mIoU_obs,[ 0.3  68.43  2.22  0.26]
mIoU_hid,[ 1.18 14.83  8.26 35.95]
p(un|not un),33.41
p(dy|not dy),23.17
overallScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,47.68,14.59,17.19,20.54
 fr_true ,12.54,66.78,4.21,16.47
 oc_true ,17.24,9.38,34.75,38.63
 un_true ,3.21,4.27,14.84,77.68
observableScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,52.04,21.89,17.79,8.27
 fr_true ,12.02,79.09,2.43,6.46
 oc_true ,29.88,15.3,37.12,17.7
 un_true ,-1.0,-1.0,-1.0,-1.0
hiddenScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,46.08,11.28,16.8,25.84
 fr_true ,14.69,34.93,8.77,41.6
 oc_true ,13.19,7.62,34.03,45.16
 un_true ,3.16,4.19,14.83,77.83
